UI_DEF_FONT	Tahoma:12
UI_DEF_FONT_LARGE	Tahoma:14
UI_DEF_FONT_SMALL	Tahoma:9
AFF_LOVE_POINT	Pontos de Amor: %d%%
ALIGNMENT_NAME	Pontos de Karma:
ATTACK_ERROR_UNKNOWN	Erro de Ataque Desconhecido: %s
CANNOT_ATTACK_DEST_IN_SAFE	O combatente está muito longe.
CANNOT_ATTACK_SELF_IN_SAFE	Não posso atacar.
CANNOT_EQUIP_IN_EXCHANGE	Não podes alterar o teu equipamento enquanto negoceias.
CANNOT_EQUIP_IN_SHOP	Não podes mudar o teu equipamento enquanto negoceias.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Não podes abrir uma Loja Privada numa área pública.
CANNOT_SHOOT_DEST_IN_SAFE	O inimigo está muito longe.
CANNOT_SHOOT_EMPTY_ARROW	Preciso de Flechas!
CANNOT_SHOOT_SELF_IN_SAFE	Não posso fazer isto.
CANNOT_SKILL_APPROACH	Tenho a certeza que não posso chegar mais perto.
CANNOT_SKILL_ATTACK	Não posso atacar.
CANNOT_SKILL_BLUE	Não podes usar a Alma do Lobo Anil quando a Alma do Lobo Rubro está activada.
CANNOT_SKILL_DEST_IN_SAFE	O inimigo está muito longe.
CANNOT_SKILL_EQUIP_FISHING_ROD	Preciso de uma Cana de Pesca.
CANNOT_SKILL_HAVE_TO_RIDE	Preciso de um Cavalo para usar isto.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Não tenho uma Garrafa Vazia.
CANNOT_SKILL_NEED_POISON_BOTTLE	Não tenho uma Garrafa de Veneno.
CANNOT_SKILL_NEED_TARGET	Quem é o alvo?
CANNOT_SKILL_NOT_ENOUGH_HP	Não tenho VD suficiente!
CANNOT_SKILL_NOT_ENOUGH_SP	Não tenho MN suficiente!
CANNOT_SKILL_NOT_HORSE_SKILL	Não posso usar isto enquanto estou montado.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Não posso usar esta Habilidade com esta arma.
CANNOT_SKILL_NOT_YET_LEARN	Não aprendi esta Habilidade.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Isto apenas afecta membros do grupo.
CANNOT_SKILL_ONLY_FOR_CORPSE	Isto apenas afecta pessoas mortas.
CANNOT_SKILL_RED	Não podes usar a Alma do Lobo Rubro quando a Alma do Lobo Anil está activada.
CANNOT_SKILL_REMOVE_FISHING_ROD	Não posso usar esta Habilidade com uma Cana de Pesca.
CANNOT_SKILL_SELF_IN_SAFE	Não posso atacar daqui.
CANNOT_SKILL_USE_SELF	Não posso usar isto em mim mesmo.
CANNOT_SKILL_WAIT_COOLTIME	Ainda não posso usar esta Habilidade.
CANNOT_USE	Não podes usar isto.
CANNOT_WHISPER_DEST_REFUSE	%s bloqueou completamente o Segredar.	SA
CANNOT_WHISPER_NOT_LOGON	%s não está online.	SA
CANNOT_WHISPER_SELF_REFUSE	Não podes Segredar a alguém quando bloqueias completamente o Segredar.	SNA
CHANNEL	Canal
CHANNELING_CANNOT_LOGOUT	Não podes voltar ao ecrã de login.
CHANNEL_EMPTY_SERVER	Sem servidores
CHANNEL_NORMAL	Canal %d
CHANNEL_NOTIFY_FULL	O canal está cheio! Por favor escolhe outro.
CHANNEL_NOT_FIND_INFO	Não podes obter esta informação no Canal.
CHANNEL_PVP	Duelo livre
CHANNEL_SELECT_CHANNEL	Escolhe o Canal
CHANNEL_SELECT_REGION	Escolhe a região.
CHANNEL_SELECT_SERVER	Escolhe o Servidor
CHANNEL_TEST_SERVER	Servidor de testes
